"annee","libdip1","code_diplome","libdom","libdip2","libdip3","sexe","serieBac","regionEmploi","regionBac","repondant","statutReponse","boursier","etudeN6","etudeN18","etudeN30","poursuiteEtude","situationProN30","situationProN18","situationProN30r","situationProN18r","insertionN30","insertionN18","statutEmploiN30","statutEmploiN18","emploiStableN30","emploiStableN18","emploiPleinN30","emploiPleinN18","niveauEmploiN18","niveauEmploiN30","emploiSupIntN30","emploiSupIntN18","salaireEmploiN30","salaireEmploiN18","typeEmployeur","activiteEcoEmployeur","intituleEmploi"
2014,"Master",2210323,"DROIT, ECONOMIE, GESTION","MANAGEMENT","MANAGEMENT DE PROJETS INNOVANTS","Homme",NA,"Alpes-Maritimes","Alpes-Maritimes",TRUE,"téléphone","Non Boursier","Non","Non","Non",FALSE,"En emploi","En emploi","En emploi","En emploi",TRUE,TRUE,"CDI","CDI",TRUE,TRUE,TRUE,TRUE,"ingénieur ou cadre /cat. A","ingénieur ou cadre /cat. A",TRUE,TRUE,2450,1900,"Employeurs privés","Information et communication","Chef de projet"
2014,"Master",2216582,"DROIT, ECONOMIE, GESTION","ADMINISTRATION DES ENTREPRISES","ACTION SOCIALE-INTERVENTION,FORMATION ET INTEGRATION","Femme","Économique et social","Alpes-Maritimes","Hors PACA",TRUE,"téléphone","Non Boursier","Non","Non","Non",FALSE,"En emploi","En emploi","En emploi","En emploi",TRUE,TRUE,"CDI","CDI",TRUE,TRUE,TRUE,TRUE,"ingénieur ou cadre /cat. A","ingénieur ou cadre /cat. A",TRUE,TRUE,2100,2900,"Associations","Santé humaine et action sociale","CADRE de SANTE PEDAGOGIQUE"
2014,"Master",2225558,"ARTS, LETTRES, LANGUES","LANGUES ETRANGERES (ALLEMAND, ANGLAIS, ESPAGNOL, ITALIEN)","ETUDES ANGLOPHONES","Femme","Littéraire","Alpes-Maritimes","PACA hors Alpes-Maritimes",TRUE,"internet","Non Boursier","Non","Non","Non",FALSE,"En emploi","En emploi","En emploi","En emploi",TRUE,TRUE,"CDI","CDI",TRUE,TRUE,TRUE,TRUE,"ingénieur ou cadre /cat. A","ingénieur ou cadre /cat. A",TRUE,TRUE,1900,1900,"Fonction Publique","Enseignement","professeur d'anglais certifié"
2014,"Master",2215861,"SCIENCES HUMAINES ET SOCIALES","ENSEIGNEMENT, EDUCATION ET FORMATION (EEF)","ENSEIGNEMENT PRIMAIRE ET INTERVENTION EN MILIEU EDUCATIF","Homme","Scientifique",NA,"PACA hors Alpes-Maritimes",TRUE,"internet","Non Boursier","Non","Non","Non",FALSE,"En recherche d'emploi","En emploi","En recherche d'emploi","En emploi",FALSE,TRUE,NA,"CDD",NA,FALSE,NA,TRUE,"ingénieur ou cadre /cat. A",NA,NA,TRUE,NA,1400,NA,NA,NA
2014,"Master",2216584,"DROIT, ECONOMIE, GESTION","ADMINISTRATION DES ENTREPRISES","ENCADREMENT DES ETABLISSEMENTS DE LA SANTE ET DU SOCIAL","Femme","Scientifique","Étranger","Alpes-Maritimes",TRUE,"téléphone","Non Boursier","Non","Non","Non",FALSE,"En emploi","En emploi","En emploi","En emploi",TRUE,TRUE,"Fonctionnaire","Fonctionnaire",TRUE,TRUE,TRUE,TRUE,"ingénieur ou cadre /cat. A","ingénieur ou cadre /cat. A",TRUE,TRUE,2300,2400,"Fonction Publique","Santé humaine et action sociale","cadre de santé "
2014,"Master",2204213,"ARTS, LETTRES, LANGUES","LETTRES","DOCUMENTATION","Femme","Littéraire","Alpes-Maritimes","Hors PACA",TRUE,"téléphone","Non Boursier","Non","Non","Non",FALSE,"En emploi","En emploi","En emploi","En emploi",TRUE,TRUE,"Fonctionnaire","Fonctionnaire",TRUE,TRUE,TRUE,TRUE,"ingénieur ou cadre /cat. A","ingénieur ou cadre /cat. A",TRUE,TRUE,1800,1800,"Fonction Publique","Enseignement","pROFFESSEUR DOCUMENTALISTE"
2014,"Master",2216792,"SCIENCES HUMAINES ET SOCIALES","PENSEE EUROPEENNE ET ENSEIGNEMENT DE LA PHILOSOPHIE","ENSEIGNEMENT DE LA PHILOSOPHIE-FORMATION THEORIQUE ET PRATIQUE","Homme","Littéraire","Hors PACA","Hors PACA",TRUE,"téléphone","Non Boursier","En doctorat (Master) / en Master (LP)","En doctorat (Master) / en Master (LP)","En doctorat (Master) / en Master (LP)",TRUE,"En emploi","En emploi","En emploi","En emploi",TRUE,TRUE,"Fonctionnaire","Fonctionnaire",TRUE,TRUE,TRUE,FALSE,"ingénieur ou cadre /cat. A","ingénieur ou cadre /cat. A",TRUE,TRUE,1600,1400,"Fonction Publique","Enseignement","Enseignant"
2014,"Master",2216887,"SCIENCES, TECHNOLOGIES, SANTE","SCIENCES, TECHNOLOGIES, SANTE-INGENIERIE POUR LES SYSTEMES DE SANTE ET L'AUTONOMIE","INGENIERIE POUR LE VIEILLISSEMENT ET L'AUTONOMIE","Femme","Équivalent ou étranger",NA,"Etranger",TRUE,"internet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Master",2216582,"DROIT, ECONOMIE, GESTION","ADMINISTRATION DES ENTREPRISES","ACTION SOCIALE-INTERVENTION,FORMATION ET INTEGRATION","Femme","Technique ou technologique","Alpes-Maritimes","Alpes-Maritimes",TRUE,"téléphone","Non Boursier","Non","Non","Non",FALSE,"En emploi","En emploi","En emploi","En emploi",TRUE,TRUE,"CDI","CDI",TRUE,TRUE,TRUE,TRUE,"ingénieur ou cadre /cat. A","ingénieur ou cadre /cat. A",TRUE,TRUE,2600,2600,"Associations","Autres activités de service","Responsable de filière "
2014,"Master",2216584,"DROIT, ECONOMIE, GESTION","ADMINISTRATION DES ENTREPRISES","ENCADREMENT DES ETABLISSEMENTS DE LA SANTE ET DU SOCIAL","Femme","Scientifique","Alpes-Maritimes","Hors PACA",TRUE,"téléphone","Non Boursier","Non","Non","Non",FALSE,"En emploi","En emploi","En emploi","En emploi",TRUE,TRUE,"CDI","CDI",TRUE,TRUE,TRUE,TRUE,"ingénieur ou cadre /cat. A","ingénieur ou cadre /cat. A",TRUE,TRUE,2200,2200,"Fonction Publique","Santé humaine et action sociale","cadre de santé formatrice"
2014,"Master",2210331,"DROIT, ECONOMIE, GESTION","FINANCE COMPTABILITE","INGENIERIE FINANCIERE","Homme","Équivalent ou étranger",NA,"Etranger",TRUE,"internet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Master",2221714,"SCIENCES, TECHNOLOGIES, SANTE","SCIENCES DE LA VIE ET DE LA SANTE","GENETIQUE, IMMUNITE ET DEVELOPPEMENT ANIMAL OU VEGETAL","Femme","Scientifique","Alpes-Maritimes","Hors PACA",TRUE,"téléphone","Non Boursier","En doctorat (Master) / en Master (LP)","En doctorat (Master) / en Master (LP)","En doctorat (Master) / en Master (LP)",TRUE,"En emploi","En emploi","En emploi","En emploi",TRUE,TRUE,"Fonctionnaire","Fonctionnaire",TRUE,TRUE,TRUE,TRUE,"ingénieur ou cadre /cat. A","ingénieur ou cadre /cat. A",TRUE,TRUE,5000,5000,"Fonction Publique","Santé humaine et action sociale","Practicienne hospitalière "
2014,"Master",2216584,"DROIT, ECONOMIE, GESTION","ADMINISTRATION DES ENTREPRISES","ENCADREMENT DES ETABLISSEMENTS DE LA SANTE ET DU SOCIAL","Femme","Technique ou technologique","Hors PACA","Hors PACA",TRUE,"internet","Non Boursier","Non","Non","Non",FALSE,"En emploi","En emploi","En emploi","En emploi",TRUE,TRUE,"Fonctionnaire","Fonctionnaire",TRUE,TRUE,TRUE,TRUE,"ingénieur ou cadre /cat. A","ingénieur ou cadre /cat. A",TRUE,TRUE,2500,2500,"Fonction Publique","Santé humaine et action sociale","Cadre paramédical supérieur de santé"
2014,"Master",2215860,"SCIENCES HUMAINES ET SOCIALES","ENSEIGNEMENT, EDUCATION ET FORMATION (EEF)","EDUCATION, VIE SCOLAIRE ET SITUATION DE HANDICAP","Femme","Scientifique","Alpes-Maritimes","Alpes-Maritimes",TRUE,"internet","Non Boursier","Non","Non","Non",FALSE,"En emploi","En emploi","En emploi","En emploi",TRUE,TRUE,"CDI","CDI",TRUE,TRUE,TRUE,TRUE,"ingénieur ou cadre /cat. A",NA,NA,TRUE,2500,2500,"Associations","Enseignement","Cadre formatrice en IFSI"
2014,"Master",2216682,"DROIT, ECONOMIE, GESTION","ORGANISATION DES FIRMES ET DES MARCHES, CONNAISSANCE ET INNOVATION","ECONOMIE ET MANAGEMENT DES ORGANISATIONS ET DES RESSOURCES HUMAINES","Homme","Équivalent ou étranger","Alpes-Maritimes","Etranger",TRUE,"téléphone","Boursier","Dans une autre formation","Dans une autre formation","Non",TRUE,"En emploi","En emploi","En emploi","En emploi",TRUE,TRUE,"CDI","CDI",TRUE,TRUE,FALSE,FALSE,"technicien ou agent de maîtrise / cat. B","technicien ou agent de maîtrise / cat. B",TRUE,TRUE,1000,1000,"Fonction Publique","Arts, spectacles et activités récréatives","assistant d'enseignement artistique"
2014,"Master",2217017,"SCIENCES HUMAINES ET SOCIALES","TOURISME","HOTELLERIE INTERNATIONALE","Femme","Équivalent ou étranger","Hors PACA","Etranger",TRUE,"internet","Non Boursier","Non","Non","Non",FALSE,"En emploi","En emploi","En emploi","En emploi",TRUE,TRUE,"CDD","CDD",FALSE,FALSE,FALSE,TRUE,"ouvrier ou employé / cat. C","ouvrier ou employé / cat. C",FALSE,FALSE,NA,1300,"Employeurs privés","Commerce, transports, hébergement et restauration","Réceptionniste "
2014,"Master",2214693,"DROIT, ECONOMIE, GESTION","DROIT INTERNATIONAL ET EUROPEEN","DROIT ET PRATIQUES DES AFFAIRES INTERNATIONALES","Femme","Équivalent ou étranger","Alpes-Maritimes","Etranger",TRUE,"internet","Non Boursier","Dans une autre formation","Non","Non",TRUE,"En emploi",NA,"En emploi",NA,TRUE,NA,"CDI",NA,TRUE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,"Employeurs privés","Commerce, transports, hébergement et restauration","consultation juridique"
